state_data,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,pAVG,pSTD
lie,11,8,8,10,612,8,8,10,771,827,671,11,246.3,353.7
lie,18,19,19,19,615,18,19,19,773,829,675,19,253.5,350.4
lie,20,19,20,20,612,20,20,20,771,829,678,20,254.1,349.6
lie,0,0,0,0,601,0,0,0,758,824,671,0,237.8,355.0
lie,11,8,8,10,607,8,8,10,762,826,674,10,245.2,352.3
lie,18,18,19,19,611,19,19,19,771,829,677,19,253.2,349.9
lie,20,20,19,21,615,20,20,20,773,830,676,20,254.5,350.0
lie,0,0,0,0,606,0,0,0,768,825,669,0,239.0,356.7
lie,10,7,8,10,609,8,8,10,771,827,673,10,245.9,353.8
lie,18,19,18,19,611,18,19,18,769,829,677,19,252.8,349.8
lie,20,20,20,20,611,20,20,20,769,829,678,20,253.9,349.2
lie,0,0,0,0,603,0,0,0,767,825,670,0,238.8,356.4
